metadata_location_name,metadata_series_label,metadata_start_year,metadata_end_year,latitude,longitude,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,year,count_date,fish_count,species,species_id,count_location,count_location_id,downloaded_at_utc
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-11,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-12,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2017,2017-08-13,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-07-27,1,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-07-28,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-07-29,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-07-30,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-07-31,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-01,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-02,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-03,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-04,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-05,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2020,2020-08-06,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-21,1,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-22,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-23,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-24,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-25,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-26,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-27,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-28,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-29,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-30,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-07-31,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-01,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-02,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-03,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-04,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-05,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-06,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-07,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-08,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-10,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-11,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
Afognak River (Litnik),chinook,1994,2025,58.0772222,-152.8008333,Afognak River (Litnik),23,Chinook,410,2025,2025-08-12,0,Chinook,410,Afognak River (Litnik),23,2026-08-11T20:57:57.387731+00:00
